model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,,
resnet18.a3_in1k,CNN,ImageNet 1k,68.252,52.36486486,73.69242779,53.19148936,74.46808511,,
resnet152.a3_in1k,CNN,ImageNet 1k,80.546,53.61226611,81.06947697,58.5106383,71.27659574,,
resnet101.a3_in1k,CNN,ImageNet 1k,79.814,54.31392931,78.7665886,60.63829787,76.59574468,,
resnet50.a3_in1k,CNN,ImageNet 1k,78.048,53.17047817,78.1420765,55.31914894,75.53191489,,
resnet34.a3_in1k,CNN,ImageNet 1k,72.97,52.44282744,77.71272443,56.38297872,75.53191489,,
vit_tiny_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,75.462,59.38149688,84.66042155,62.76595745,81.91489362,,
vit_small_patch16_224.augreg_in1k,Transformer,ImageNet 1k,78.848,64.99480249,87.58782201,72.34042553,81.91489362,,
vit_small_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,81.386,64.42307692,85.32396565,65.95744681,86.17021277,,
vit_base_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,84.532,72.03742204,88.7587822,78.72340426,82.9787234,,
vit_large_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,85.836,70.76403326,89.65651835,74.46808511,84.04255319,,
beit_base_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,85.212,71.51767152,89.3832943,74.46808511,85.10638298,,
beitv2_base_patch16_224.in1k_ft_in1k,Transformer,ImageNet 1k,85.594,74.68814969,88.60265418,77.65957447,85.10638298,, 
beitv2_base_patch16_224.in1k_ft_in22k_in1k,Transformer,ImageNet 1k,86.474,78.61226611,90.28103044,85.10638298,86.17021277,,
beit_base_patch16_384.in22k_ft_in22k_in1k,Transformer,ImageNet21k,86.8,78.37837838,88.29039813,84.04255319,81.91489362,,
beit_large_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,87.478,82.17255717,89.77361436,89.36170213,85.10638298,,
beit_large_patch16_384.in22k_ft_in22k_in1k,Transformer,ImageNet21k,88.402,83.18607069,89.22716628,86.17021277,85.10638298,,
beit_large_patch16_512.in22k_ft_in22k_in1k,Transformer,ImageNet21k,88.596,83.91372141,91.84231069,86.17021277,89.36170213,,
beitv2_large_patch16_224.in1k_ft_in1k,Transformer,ImageNet 1k,87.412,83.26403326,90.04683841,84.04255319,82.9787234,,
beitv2_large_patch16_224.in1k_ft_in22k_in1k,Transformer,ImageNet 1k,88.394,83.57588358,90.71038251,85.10638298,87.23404255,,
caformer_m36.sail_in1k,MetaFormer,ImageNet 1k,85.232,61.9022869,89.11007026,64.89361702,82.9787234,,
caformer_m36.sail_in22k_ft_in1k,MetaFormer,ImageNet21k,86.594,82.84823285,90.82747853,87.23404255,86.17021277,,
caformer_s18.sail_in1k,MetaFormer,ImageNet 1k,83.654,56.6008316,88.36846214,60.63829787,82.9787234,,
caformer_s18.sail_in22k_ft_in1k,MetaFormer,ImageNet21k,84.074,79.80769231,89.81264637,87.23404255,85.10638298,,
caformer_s36.sail_in1k,MetaFormer,ImageNet 1k,84.506,63.56548857,87.74395004,62.76595745,81.91489362,,
caformer_s36.sail_in22k_ft_in1k,MetaFormer,ImageNet21k,85.79,71.8035343,86.92427791,78.72340426,79.78723404,,
cait_s24_224.fb_dist_in1k,Transformer,ImageNet 1k,83.442,66.42411642,87.04137393,75.53191489,79.78723404,,
cait_xxs24_224.fb_dist_in1k,Transformer,ImageNet 1k,78.384,62.78586279,86.06557377,62.76595745,84.04255319,,
cait_xxs36_224.fb_dist_in1k,Transformer,ImageNet 1k,79.746,65.0987526,87.86104606,71.27659574,75.53191489,,
coat_lite_medium.in1k,Hybrid,ImageNet 1k,83.6,65.48856549,88.01717408,73.40425532,84.04255319,,
coat_lite_mini.in1k,Hybrid,ImageNet 1k,79.102,59.06964657,85.98750976,53.19148936,79.78723404,,
coat_lite_small.in1k,Hybrid,ImageNet 1k,82.312,60.88877339,87.08040593,58.5106383,80.85106383,,
coat_lite_tiny.in1k,Hybrid,ImageNet 1k,77.52,57.84823285,86.45589383,53.19148936,80.85106383,,
coat_mini.in1k,Hybrid,ImageNet 1k,81.27,61.7983368,88.17330211,65.95744681,81.91489362,,
coat_small.in1k,Hybrid,ImageNet 1k,82.362,61.69438669,88.79781421,61.70212766,84.04255319,,
coat_tiny.in1k,Hybrid,ImageNet 1k,78.426,57.77027027,86.06557377,56.38297872,80.85106383,,
coatnet_0_rw_224.sw_in1k,Hybrid,ImageNet 1k,82.39,60.31704782,87.54879001,73.40425532,86.17021277,,
coatnet_1_rw_224.sw_in1k,Hybrid,ImageNet 1k,83.596,68.71101871,89.9687744,70.21276596,86.17021277,,
coatnet_bn_0_rw_224.sw_in1k,Hybrid,ImageNet 1k,82.4,66.65800416,87.82201405,73.40425532,88.29787234,,
coatnet_nano_rw_224.sw_in1k,Hybrid,ImageNet 1k,81.696,62.73388773,87.97814208,72.34042553,88.29787234,,
coatnet_rmlp_1_rw_224.sw_in1k,Hybrid,ImageNet 1k,83.362,68.06133056,89.11007026,73.40425532,88.29787234,,
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,Hybrid,ImageNet 12k,84.91,82.17255717,89.3442623,86.17021277,82.9787234,,
coatnet_rmlp_2_rw_224.sw_in1k,Hybrid,ImageNet 1k,84.608,64.70893971,89.26619828,69.14893617,84.04255319,,
coatnet_rmlp_nano_rw_224.sw_in1k,Hybrid,ImageNet 1k,82.05,58.23804574,87.43169399,68.08510638,82.9787234,,
convit_base.fb_in1k,Transformer,ImageNet 1k,82.29,65.77442827,89.3832943,67.0212766,85.10638298,,
convit_small.fb_in1k,Transformer,ImageNet 1k,81.42,65.59251559,87.11943794,67.0212766,82.9787234,,
convit_tiny.fb_in1k,Transformer,ImageNet 1k,73.112,62.11018711,85.55815769,60.63829787,85.10638298,,
convmixer_1024_20_ks9_p14.in1k,CNN,ImageNet 1k,76.936,53.92411642,80.95238095,53.19148936,71.27659574,,
convmixer_1536_20.in1k,CNN,ImageNet 1k,81.362,58.54989605,82.78688525,62.76595745,73.40425532,,
convmixer_768_32.in1k,CNN,ImageNet 1k,80.168,55.35343035,81.264637,64.89361702,72.34042553,,
davit_base.msft_in1k,Transformer,ImageNet 1k,84.642,61.35654886,88.87587822,63.82978723,82.9787234,,
davit_small.msft_in1k,Transformer,ImageNet 1k,84.252,62.44802495,87.08040593,63.82978723,81.91489362,,
davit_tiny.msft_in1k,Transformer,ImageNet 1k,82.696,58.52390852,87.11943794,61.70212766,80.85106383,,
deit_base_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.39,63.64345114,86.96330991,68.08510638,78.72340426,,
deit_base_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.992,66.52806653,87.86104606,68.08510638,85.10638298,,
deit_small_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.216,60.68087318,86.37782982,63.82978723,78.72340426,,
deit_small_patch16_224.fb_in1k,Transformer,ImageNet 1k,79.848,58.80977131,86.33879781,60.63829787,82.9787234,,
deit_tiny_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,74.504,59.58939709,84.23106948,57.44680851,81.91489362,,
deit_tiny_patch16_224.fb_in1k,Transformer,ImageNet 1k,72.17,59.58939709,84.30913349,59.57446809,87.23404255,,
deit3_base_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.786,65.33264033,87.39266198,70.21276596,81.91489362,,
deit3_base_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,85.7,64.21517672,89.07103825,62.76595745,82.9787234,,
deit3_medium_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.086,67.12577963,87.78298205,65.95744681,81.91489362,,
deit3_medium_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,84.55,61.35654886,88.05620609,68.08510638,88.29787234,,
deit3_small_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.37,59.40748441,88.32943013,58.5106383,82.9787234,,
deit3_small_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,83.076,62.16216216,88.29039813,62.76595745,91.4893617,,
densenet121.tv_in1k,CNN,ImageNet 1k,74.764,63.01975052,86.2217018,62.76595745,80.85106383,,
densenet161.tv_in1k,CNN,ImageNet 1k,77.358,66.96985447,85.94847775,67.0212766,75.53191489,,
densenet169.tv_in1k,CNN,ImageNet 1k,75.9,63.59147609,87.23653396,61.70212766,84.04255319,,
densenet201.tv_in1k,CNN,ImageNet 1k,77.286,64.18918919,85.67525371,62.76595745,78.72340426,,
dla102.in1k,CNN,ImageNet 1k,78.024,64.68295218,86.29976581,65.95744681,77.65957447,,
dla169.in1k,CNN,ImageNet 1k,78.708,63.43555094,85.75331772,65.95744681,79.78723404,,
dla34.in1k,CNN,ImageNet 1k,74.64,61.51247401,81.57689305,57.44680851,78.72340426,,
dla46_c.in1k,CNN,ImageNet 1k,64.872,50.7016632,79.50819672,50,74.46808511,,
dla60.in1k,CNN,ImageNet 1k,77.046,60.10914761,84.62138954,62.76595745,79.78723404,,
dpn107.mx_in1k,CNN,ImageNet 1k,80.17,73.36278586,86.57298985,73.40425532,76.59574468,,
dpn131.mx_in1k,CNN,ImageNet 1k,79.814,72.24532225,86.37782982,77.65957447,82.9787234,,
dpn68.mx_in1k,CNN,ImageNet 1k,76.346,62.62993763,86.2217018,68.08510638,79.78723404,,
dpn68b.mx_in1k,CNN,ImageNet 1k,77.518,67.07380457,85.90944575,68.08510638,74.46808511,,
dpn92.mx_in1k,CNN,ImageNet 1k,80.038,70.08835759,87.08040593,76.59574468,79.78723404,,
dpn98.mx_in1k,CNN,ImageNet 1k,79.67,71.88149688,87.74395004,72.34042553,81.91489362,,
efficientformer_l1.snap_dist_in1k,Transformer,ImageNet 1k,80.498,56.65280665,85.40202966,59.57446809,79.78723404,,
efficientformer_l3.snap_dist_in1k,Transformer,ImageNet 1k,82.548,58.70582121,86.2607338,53.19148936,78.72340426,,
efficientformer_l7.snap_dist_in1k,Transformer,ImageNet 1k,83.382,58.67983368,86.06557377,59.57446809,76.59574468,,
efficientformerv2_l.snap_dist_in1k,Transformer,ImageNet 1k,83.632,58.44594595,83.87978142,60.63829787,73.40425532,,
efficientformerv2_s0.snap_dist_in1k,Transformer,ImageNet 1k,76.114,53.22245322,82.35753318,56.38297872,77.65957447,,
efficientformerv2_s1.snap_dist_in1k,Transformer,ImageNet 1k,79.692,56.44490644,84.58235753,59.57446809,73.40425532,,
efficientformerv2_s2.snap_dist_in1k,Transformer,ImageNet 1k,82.166,58.80977131,82.04527713,63.82978723,71.27659574,,
efficientnet_b0.ra_in1k,CNN,ImageNet 1k,77.694,57.32848233,82.08430913,56.38297872,78.72340426,,
efficientnet_es_pruned.in1k,CNN,ImageNet 1k,75.006,61.2006237,83.0991413,63.82978723,77.65957447,,
efficientnet_es.ra_in1k,CNN,ImageNet 1k,78.058,57.06860707,83.1381733,62.76595745,74.46808511,,
efficientnet_lite0.ra_in1k,CNN,ImageNet 1k,75.482,53.09251559,75.68306011,60.63829787,73.40425532,,
focalnet_base_srf.ms_in1k,Transformer,ImageNet 1k,83.82,66.45010395,89.53942233,61.70212766,87.23404255,,
focalnet_small_srf.ms_in1k,Transformer,ImageNet 1k,83.416,74.06444906,88.79781421,77.65957447,85.10638298,,
focalnet_tiny_srf.ms_in1k,Transformer,ImageNet 1k,82.138,76.58523909,85.94847775,80.85106383,81.91489362,,
focalnet_base_lrf.ms_in1k,Transformer,ImageNet 1k,83.838,69.82848233,89.61748634,73.40425532,85.10638298,,
focalnet_small_lrf.ms_in1k,Transformer,ImageNet 1k,83.494,69.02286902,88.60265418,69.14893617,87.23404255,,
focalnet_tiny_lrf.ms_in1k,Transformer,ImageNet 1k,82.154,75.49376299,87.470726,78.72340426,82.9787234,,
hrnet_w18_small_v2.ms_in1k,CNN,ImageNet 1k,75.11,61.92827443,84.66042155,57.44680851,77.65957447,,
hrnet_w18_small.ms_in1k,CNN,ImageNet 1k,72.336,60.10914761,83.25526932,60.63829787,74.46808511,,
hrnet_w18.ms_in1k,CNN,ImageNet 1k,76.752,67.38565489,83.41139735,68.08510638,79.78723404,,
hrnet_w30.ms_in1k,CNN,ImageNet 1k,78.196,69.46465696,86.33879781,72.34042553,78.72340426,,
hrnet_w32.ms_in1k,CNN,ImageNet 1k,78.442,67.33367983,86.18266979,70.21276596,79.78723404,,
hrnet_w40.ms_in1k,CNN,ImageNet 1k,78.932,68.5031185,86.8852459,65.95744681,81.91489362,,
hrnet_w44.ms_in1k,CNN,ImageNet 1k,78.894,70.97193347,85.28493365,75.53191489,81.91489362,,
hrnet_w48.ms_in1k,CNN,ImageNet 1k,79.306,70.60810811,85.20686963,74.46808511,77.65957447,,
lcnet_050.ra2_in1k,CNN,ImageNet 1k,63.138,53.01455301,78.1420765,51.06382979,74.46808511,,
lcnet_075.ra2_in1k,CNN,ImageNet 1k,68.782,53.87214137,78.22014052,53.19148936,74.46808511,,
lcnet_100.ra2_in1k,CNN,ImageNet 1k,72.102,53.22245322,81.14754098,57.44680851,78.72340426,,
levit_128.fb_dist_in1k,Transformer,ImageNet 1k,78.49,53.87214137,82.74785324,54.25531915,76.59574468,,
levit_128s.fb_dist_in1k,Transformer,ImageNet 1k,76.526,57.56237006,81.73302108,59.57446809,78.72340426,,
levit_192.fb_dist_in1k,Transformer,ImageNet 1k,79.838,57.3024948,83.1381733,60.63829787,76.59574468,,
levit_256.fb_dist_in1k,Transformer,ImageNet 1k,81.524,54.54781705,84.69945355,57.44680851,79.78723404,,
levit_384.fb_dist_in1k,Transformer,ImageNet 1k,82.596,58.78378378,87.97814208,62.76595745,82.9787234,,
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,Transformer,ImageNet 12k,86.894,68.71101871,88.83684621,74.46808511,81.91489362,,
