model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,view_exp_accuracy
resnet18.a3_in1k,CNN,ImageNet 1k,68.252,49.24636175,57.68930523,48.93617021,64.89361702,55
resnet152.a3_in1k,CNN,ImageNet 1k,80.546,50.62370062,65.37861046,46.80851064,64.89361702,52.5
resnet101.a3_in1k,CNN,ImageNet 1k,79.814,51.03950104,62.56830601,53.19148936,65.95744681,40
resnet50.a3_in1k,CNN,ImageNet 1k,78.048,50.77962578,68.54020297,50,63.82978723,40
resnet34.a3_in1k,CNN,ImageNet 1k,72.97,49.87006237,61.67056987,51.06382979,62.76595745,45
vit_tiny_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,75.462,51.71517672,60.07025761,46.80851064,61.70212766,52.5
vit_small_patch16_224.augreg_in1k,Transformer,ImageNet 1k,78.848,51.63721414,66.97892272,60.63829787,61.70212766,40
vit_small_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,81.386,49.11642412,72.75565964,46.80851064,64.89361702,50
vit_base_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,84.532,51.84511435,74.90241998,52.12765957,70.21276596,52.5
vit_large_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,85.836,51.76715177,78.1030445,50,70.21276596,50
beit_base_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,85.212,53.82016632,70.80405933,46.80851064,65.95744681,50
beitv2_base_patch16_224.in1k_ft_in1k,Transformer,ImageNet 1k,85.594,51.66320166,68.61826698,56.38297872,61.70212766,50
beitv2_base_patch16_224.in1k_ft_in22k_in1k,Transformer,ImageNet 1k,86.474,52.67671518,68.07181889,50,70.21276596,60
beit_base_patch16_384.in22k_ft_in22k_in1k,Transformer,ImageNet21k,86.8,51.79313929,72.59953162,53.19148936,68.08510638,50
beit_large_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,87.478,51.27338877,75.6440281,50,68.08510638,60
