model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
resnet18.a3_in1k,CNN,ImageNet 1k,68.252,49.63617464,59.52380952,47.87234043,68.08510638
resnet152.a3_in1k,CNN,ImageNet 1k,80.546,50.23388773,63.97345824,53.19148936,63.82978723
resnet101.a3_in1k,CNN,ImageNet 1k,79.814,50.98752599,64.79313037,54.25531915,64.89361702
resnet50.a3_in1k,CNN,ImageNet 1k,78.048,50.77962578,69.3598751,51.06382979,60.63829787
resnet34.a3_in1k,CNN,ImageNet 1k,72.97,49.87006237,61.47540984,52.12765957,59.57446809
vit_tiny_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,75.462,52.46881497,59.9921936,54.25531915,62.76595745
vit_small_patch16_224.augreg_in1k,Transformer,ImageNet 1k,78.848,51.27338877,67.5253708,59.57446809,60.63829787
vit_small_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,81.386,49.61018711,73.06791569,52.12765957,65.95744681
vit_base_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,84.532,50.98752599,74.82435597,57.44680851,71.27659574
vit_large_patch16_224.augreg_in21k_ft_in1k,Transformer,ImageNet21k,85.836,52.15696466,76.93208431,48.93617021,71.27659574
beit_base_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,85.212,53.09251559,70.17954723,48.93617021,68.08510638
beitv2_base_patch16_224.in1k_ft_in1k,Transformer,ImageNet 1k,85.594,51.61122661,68.57923497,59.57446809,57.44680851
beitv2_base_patch16_224.in1k_ft_in22k_in1k,Transformer,ImageNet 1k,86.474,53.09251559,67.60343482,54.25531915,70.21276596
beit_base_patch16_384.in22k_ft_in22k_in1k,Transformer,ImageNet21k,86.8,51.01351351,72.17017955,52.12765957,69.14893617
beit_large_patch16_224.in22k_ft_in22k_in1k,Transformer,ImageNet21k,87.478,52.28690229,74.66822795,52.12765957,64.89361702
beit_large_patch16_384.in22k_ft_in22k_in1k,Transformer,ImageNet21k,88.402,53.74220374,77.04918033,56.38297872,76.59574468
beit_large_patch16_512.in22k_ft_in22k_in1k,Transformer,ImageNet21k,88.596,53.84615385,79.07884465,56.38297872,74.46808511
beitv2_large_patch16_224.in1k_ft_in1k,Transformer,ImageNet 1k,87.412,51.06548857,69.90632319,58.5106383,63.82978723
beitv2_large_patch16_224.in1k_ft_in22k_in1k,Transformer,ImageNet 1k,88.394,51.81912682,75.40983607,52.12765957,76.59574468
caformer_m36.sail_in1k,MetaFormer,ImageNet 1k,85.232,51.22141372,64.75409836,51.06382979,55.31914894
