unique_string,worker_id,assignment_id,hit_id,video_url,response,label,correctness,timeout,experiment_number,ip_address,time_taken,submission_timestamp,correct_during_trial,incorrect_during_trial,device_properties
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/03/0037.png,0,1,0,True,0,205.220.211.196,5.572922229766846,2024-04-05 01:18:27.882338,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/09/0033.png,0,0,1,False,1,205.220.211.196,2.6296300888061523,2024-04-05 01:18:31.984298,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,suitcase/suitcase_03/07/0016.png,0,0,1,False,2,205.220.211.196,2.974407434463501,2024-04-05 01:18:36.621875,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,couch/couch_03/03/0040.png,0,1,0,False,3,205.220.211.196,3.406079053878784,2024-04-05 01:18:41.636052,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/07/0048.png,1,0,0,False,4,205.220.211.196,2.7032392024993896,2024-04-05 01:18:45.905209,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,hydrant/hydrant_03/06/0005.png,0,0,1,False,5,205.220.211.196,3.479347944259644,2024-04-05 01:18:50.872733,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/07/0044.png,0,0,1,False,6,205.220.211.196,3.493461847305298,2024-04-05 01:18:55.876518,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,car/car_03/07/0019.png,0,0,1,False,7,205.220.211.196,2.9144279956817627,2024-04-05 01:19:00.271613,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,bench/bench_03/09/0040.png,0,0,1,False,8,205.220.211.196,4.186873197555542,2024-04-05 01:19:05.953598,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,umbrella/umbrella_03/09/0038.png,0,0,1,False,9,205.220.211.196,2.866454839706421,2024-04-05 01:19:10.280945,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,couch/couch_03/05/0047.png,0,1,0,False,10,205.220.211.196,2.804194211959839,2024-04-05 01:19:15.566056,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,umbrella/umbrella_03/09/0009.png,0,0,1,False,11,205.220.211.196,3.036463737487793,2024-04-05 01:19:21.754816,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/01/0042.png,0,1,0,False,12,205.220.211.196,3.0644872188568115,2024-04-05 01:19:26.358458,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,laptop/laptop_03/08/0012.png,0,0,1,False,13,205.220.211.196,3.2681400775909424,2024-04-05 01:19:31.318374,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,suitcase/suitcase_03/04/0018.png,1,1,1,False,14,205.220.211.196,2.951113700866699,2024-04-05 01:19:35.866592,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,couch/couch_03/02/0009.png,1,1,1,False,15,205.220.211.196,3.5227739810943604,2024-04-05 01:19:41.086054,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,motorcycle/motorcycle_03/08/0003.png,0,0,1,False,16,205.220.211.196,3.056572914123535,2024-04-05 01:19:45.691449,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/08/0042.png,1,0,0,False,17,205.220.211.196,3.690159797668457,2024-04-05 01:19:51.099902,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,chair/chair_03/07/0039.png,1,0,0,True,18,205.220.211.196,8.989408731460571,2024-04-05 01:20:01.680587,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,suitcase/suitcase_03/08/0012.png,1,0,0,False,19,205.220.211.196,3.1007320880889893,2024-04-05 01:20:06.462401,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,suitcase/suitcase_03/02/0046.png,0,1,0,False,20,205.220.211.196,3.055955410003662,2024-04-05 01:20:17.575868,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,bench/bench_03/07/0022.png,1,0,0,False,21,205.220.211.196,3.46708607673645,2024-04-05 01:20:22.563436,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,laptop/laptop_03/03/0011.png,0,1,0,False,22,205.220.211.196,3.343202352523804,2024-04-05 01:20:27.489434,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,bench/bench_03/04/0010.png,1,1,1,False,23,205.220.211.196,3.2968223094940186,2024-04-05 01:20:32.289303,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,hydrant/hydrant_03/09/0041.png,0,0,1,False,24,205.220.211.196,2.8931353092193604,2024-04-05 01:20:36.661509,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,laptop/laptop_03/08/0000.png,1,0,0,False,25,205.220.211.196,4.04587197303772,2024-04-05 01:20:42.213407,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,couch/couch_03/04/0018.png,1,1,1,True,26,205.220.211.196,4.6990602016448975,2024-04-05 01:20:48.445036,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,car/car_03/03/0002.png,0,1,0,True,27,205.220.211.196,4.957864761352539,2024-04-05 01:20:54.901849,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,car/car_03/05/0034.png,1,1,1,True,28,205.220.211.196,4.562222480773926,2024-04-05 01:21:00.948902,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,bench/bench_03/06/0046.png,0,0,1,False,29,205.220.211.196,2.904933214187622,2024-04-05 01:21:05.783999,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,hydrant/hydrant_03/08/0046.png,0,0,1,False,30,205.220.211.196,3.0507442951202397,2024-04-05 01:21:10.360446,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,couch/couch_03/08/0006.png,1,0,0,False,31,205.220.211.196,2.891428232192993,2024-04-05 01:21:14.720703,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,hydrant/hydrant_03/07/0003.png,0,0,1,False,32,205.220.211.196,3.058256864547729,2024-04-05 01:21:19.320513,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,hydrant/hydrant_03/09/0019.png,0,0,1,False,33,205.220.211.196,2.933111429214477,2024-04-05 01:21:23.769272,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,motorcycle/motorcycle_03/05/0038.png,0,1,0,False,34,205.220.211.196,3.006754159927368,2024-04-05 01:21:28.259753,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,laptop/laptop_03/02/0029.png,0,1,0,False,35,205.220.211.196,3.1980197429656982,2024-04-05 01:21:32.981180,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,car/car_03/03/0000.png,0,1,0,True,36,205.220.211.196,4.902362108230591,2024-04-05 01:21:39.421002,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,bench/bench_03/03/0027.png,0,1,0,False,37,205.220.211.196,2.910740613937378,2024-04-05 01:21:43.872080,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
691b85aecc7c80c923694b420a88ce80,A2PHWEBPNYXVQ4,31LM9EDVOLSQZ8AKEKGIDMJNRGONJA,375VSR8FVW9ZR19MZBVKMGGVF89ZRQ,hydrant/hydrant_03/01/0008.png,1,1,1,False,38,205.220.211.196,3.2570316791534424,2024-04-05 01:21:48.626499,10,14,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
