unique_string,worker_id,assignment_id,hit_id,video_url,response,label,correctness,timeout,experiment_number,ip_address,time_taken,submission_timestamp,correct_during_trial,incorrect_during_trial,device_properties
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,chair/chair_03/03/0037.png,1,1,1,False,0,201.173.65.117,2.885900020599365,2024-04-11 20:41:29.255915,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,chair/chair_03/09/0033.png,0,0,1,False,1,201.173.65.117,3.883310556411743,2024-04-11 20:41:34.708589,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,suitcase/suitcase_03/07/0016.png,0,0,1,False,2,201.173.65.117,2.9024572372436523,2024-04-11 20:41:38.972959,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,couch/couch_03/03/0040.png,1,1,1,False,3,201.173.65.117,2.483928680419922,2024-04-11 20:41:42.811242,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,chair/chair_03/07/0048.png,0,0,1,False,4,201.173.65.117,3.077659368515014,2024-04-11 20:41:47.217774,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,hydrant/hydrant_03/06/0005.png,0,0,1,False,5,201.173.65.117,3.3402175903320312,2024-04-11 20:41:51.880800,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,chair/chair_03/07/0044.png,1,0,0,False,6,201.173.65.117,3.5112667083740234,2024-04-11 20:41:56.798335,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,car/car_03/07/0019.png,1,0,0,True,7,201.173.65.117,4.379584550857544,2024-04-11 20:42:02.517223,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,bench/bench_03/09/0040.png,0,0,1,False,8,201.173.65.117,3.1128299236297607,2024-04-11 20:42:06.956489,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
2beeec7f41efbae735a97e5a93a66e07,5fdbd196dfcbb90c5af649f5,66184a524602341322584788,661848818c91e161e8b285b0,umbrella/umbrella_03/09/0038.png,0,0,1,False,9,201.173.65.117,2.715447425842285,2024-04-11 20:42:11.001686,13,10,"None None None Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
