unique_string,worker_id,assignment_id,hit_id,video_url,response,label,correctness,timeout,experiment_number,ip_address,time_taken,submission_timestamp,correct_during_trial,incorrect_during_trial,device_properties
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,chair/chair_03/01/0042.png,0,0,1,False,0,83.83.40.120,3.3029263019561768,2024-05-03 18:53:03.355405,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,couch/couch_03/02/0009.png,0,0,1,False,1,83.83.40.120,2.766873598098755,2024-05-03 18:53:07.816363,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,suitcase/suitcase_03/02/0046.png,1,0,0,False,2,83.83.40.120,2.634436845779419,2024-05-03 18:53:11.955646,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,laptop/laptop_03/03/0011.png,0,0,1,False,3,83.83.40.120,2.955932855606079,2024-05-03 18:53:16.569673,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,bench/bench_03/04/0010.png,0,0,1,False,4,83.83.40.120,2.656010389328003,2024-05-03 18:53:20.875476,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,couch/couch_03/04/0018.png,0,0,1,False,5,83.83.40.120,2.5605926513671875,2024-05-03 18:53:24.959660,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,car/car_03/05/0034.png,0,0,1,False,6,83.83.40.120,2.978667497634888,2024-05-03 18:53:30.222458,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,motorcycle/motorcycle_03/05/0038.png,0,0,1,False,7,83.83.40.120,2.7480177879333496,2024-05-03 18:53:35.079056,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,bench/bench_03/03/0027.png,0,0,1,False,8,83.83.40.120,2.5085136890411377,2024-05-03 18:53:39.311576,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
43e5952131dc2a2e058361f20ade7ecc,65b24301d391a3eeab4d4fe9,663532006853344bd7db3224,66353090756460b1129b59e0,suitcase/suitcase_03/04/0015.png,0,0,1,False,9,83.83.40.120,2.7697741985321045,2024-05-03 18:53:44.063839,16,5,"None None None Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
