superclass,model_name
test,resnet18.a3_in1k
test_adv,resnet18_l2_eps0.01
test_dino_v1,vit_small_patch8_224.dino
test_dino_v2,vit_small_patch14_dinov2.lvd142m
subset1,resnet152.a3_in1k
subset1,resnet101.a3_in1k
subset1,resnet50.a3_in1k
subset1,resnet34.a3_in1k
subset1,resnet18.a3_in1k
subset2,vit_tiny_patch16_224.augreg_in21k_ft_in1k
subset2,vit_small_patch16_224.augreg_in1k
subset2,vit_small_patch16_224.augreg_in21k_ft_in1k
subset2,vit_base_patch16_224.augreg_in21k_ft_in1k
subset2,vit_large_patch16_224.augreg_in21k_ft_in1k
beit,beit_base_patch16_224.in22k_ft_in22k_in1k
beit,beitv2_base_patch16_224.in1k_ft_in1k
beit,beitv2_base_patch16_224.in1k_ft_in22k_in1k
beit,beit_base_patch16_384.in22k_ft_in22k_in1k
beit,beit_large_patch16_224.in22k_ft_in22k_in1k
beit,beit_large_patch16_384.in22k_ft_in22k_in1k
beit,beit_large_patch16_512.in22k_ft_in22k_in1k
beit,beitv2_large_patch16_224.in1k_ft_in1k
beit,beitv2_large_patch16_224.in1k_ft_in22k_in1k
caformer,caformer_m36.sail_in1k
caformer,caformer_m36.sail_in22k_ft_in1k
caformer,caformer_s18.sail_in1k
caformer,caformer_s18.sail_in22k_ft_in1k
caformer,caformer_s36.sail_in1k
caformer,caformer_s36.sail_in22k_ft_in1k
cait,cait_s24_224.fb_dist_in1k
cait,cait_xxs24_224.fb_dist_in1k
cait,cait_xxs36_224.fb_dist_in1k
coat,coat_lite_medium.in1k
coat,coat_lite_mini.in1k
coat,coat_lite_small.in1k
coat,coat_lite_tiny.in1k
coat,coat_mini.in1k
coat,coat_small.in1k
coat,coat_tiny.in1k
coatnet,coatnet_0_rw_224.sw_in1k
coatnet,coatnet_1_rw_224.sw_in1k
coatnet,coatnet_bn_0_rw_224.sw_in1k
coatnet,coatnet_nano_rw_224.sw_in1k
coatnet,coatnet_rmlp_1_rw_224.sw_in1k
coatnet,coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k
coatnet,coatnet_rmlp_2_rw_224.sw_in1k
coatnet,coatnet_rmlp_nano_rw_224.sw_in1k
convit,convit_base.fb_in1k
convit,convit_small.fb_in1k
convit,convit_tiny.fb_in1k
convmixer,convmixer_1024_20_ks9_p14.in1k
convmixer,convmixer_1536_20.in1k
convmixer,convmixer_768_32.in1k
davit,davit_base.msft_in1k
davit,davit_small.msft_in1k
davit,davit_tiny.msft_in1k
deit,deit_base_distilled_patch16_224.fb_in1k
deit,deit_base_patch16_224.fb_in1k
deit,deit_small_distilled_patch16_224.fb_in1k
deit,deit_small_patch16_224.fb_in1k
deit,deit_tiny_distilled_patch16_224.fb_in1k
deit,deit_tiny_patch16_224.fb_in1k
deit3,deit3_base_patch16_224.fb_in1k
deit3,deit3_base_patch16_224.fb_in22k_ft_in1k
deit3,deit3_medium_patch16_224.fb_in1k
deit3,deit3_medium_patch16_224.fb_in22k_ft_in1k
deit3,deit3_small_patch16_224.fb_in1k
deit3,deit3_small_patch16_224.fb_in22k_ft_in1k
densenet,densenet121.tv_in1k
densenet,densenet161.tv_in1k
densenet,densenet169.tv_in1k
densenet,densenet201.tv_in1k
dla,dla102.in1k
dla,dla169.in1k
dla,dla34.in1k
dla,dla46_c.in1k
dla,dla60.in1k
dpn,dpn107.mx_in1k
dpn,dpn131.mx_in1k
dpn,dpn68.mx_in1k
dpn,dpn68b.mx_in1k
dpn,dpn92.mx_in1k
dpn,dpn98.mx_in1k
efficientformer,efficientformer_l1.snap_dist_in1k
efficientformer,efficientformer_l3.snap_dist_in1k
efficientformer,efficientformer_l7.snap_dist_in1k
efficientformer,efficientformerv2_l.snap_dist_in1k
efficientformer,efficientformerv2_s0.snap_dist_in1k
