model_name,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
resnet18.a3_in1k,68.252,49.24636174636174,57.68930523028884,48.93617021276596,64.8936170212766
resnet152.a3_in1k,80.546,50.62370062370062,65.37861046057768,46.808510638297875,64.8936170212766
resnet101.a3_in1k,79.814,51.03950103950103,62.568306010928964,53.191489361702125,65.95744680851064
resnet50.a3_in1k,78.048,50.77962577962578,68.54020296643247,50.0,63.829787234042556
resnet34.a3_in1k,72.97,49.87006237006237,61.67056986729118,51.06382978723404,62.76595744680851
resnet18.a3_in1k,68.252,49.24636174636174,57.68930523028884,48.93617021276596,64.8936170212766
vit_tiny_patch16_224.augreg_in21k_ft_in1k,75.462,51.71517671517671,60.07025761124122,46.808510638297875,61.702127659574465
vit_small_patch16_224.augreg_in1k,78.848,51.63721413721414,66.97892271662764,60.63829787234043,61.702127659574465
vit_small_patch16_224.augreg_in21k_ft_in1k,81.386,49.11642411642412,72.75565964090555,46.808510638297875,64.8936170212766
vit_base_patch16_224.augreg_in21k_ft_in1k,84.532,51.84511434511434,74.90241998438721,52.12765957446809,70.2127659574468
vit_large_patch16_224.augreg_in21k_ft_in1k,85.836,51.767151767151766,78.10304449648712,50.0,70.2127659574468
beit_base_patch16_224.in22k_ft_in22k_in1k,85.212,53.820166320166315,70.80405932864949,46.808510638297875,65.95744680851064
beitv2_base_patch16_224.in1k_ft_in1k,85.594,51.66320166320166,68.61826697892272,56.38297872340425,61.702127659574465
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.474,52.67671517671517,68.07181889149102,50.0,70.2127659574468
beit_base_patch16_384.in22k_ft_in22k_in1k,86.8,51.79313929313929,72.59953161592506,53.191489361702125,68.08510638297872
beit_large_patch16_224.in22k_ft_in22k_in1k,87.478,51.273388773388774,75.64402810304449,50.0,68.08510638297872
beit_large_patch16_384.in22k_ft_in22k_in1k,88.402,53.066528066528065,76.19047619047619,55.319148936170215,74.46808510638297
beit_large_patch16_512.in22k_ft_in22k_in1k,88.596,53.508316008316,79.43013270882123,52.12765957446809,75.53191489361703
beitv2_large_patch16_224.in1k_ft_in1k,87.412,51.58523908523909,69.00858704137393,58.51063829787234,64.8936170212766
