model_name,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
resnet18.a3_in1k,68.252,52.36486486486487,73.69242779078846,53.191489361702125,74.46808510638297
resnet152.a3_in1k,80.546,53.61226611226611,81.06947697111632,58.51063829787234,71.27659574468085
resnet101.a3_in1k,79.814,54.31392931392931,78.76658860265418,60.63829787234043,76.59574468085107
resnet50.a3_in1k,78.048,53.17047817047818,78.14207650273224,55.319148936170215,75.53191489361703
resnet34.a3_in1k,72.97,52.44282744282744,77.7127244340359,56.38297872340425,75.53191489361703
resnet18.a3_in1k,68.252,52.36486486486487,73.69242779078846,53.191489361702125,74.46808510638297
vit_tiny_patch16_224.augreg_in21k_ft_in1k,75.462,59.381496881496886,84.66042154566745,62.76595744680851,81.91489361702128
vit_small_patch16_224.augreg_in1k,78.848,64.9948024948025,87.58782201405153,72.3404255319149,81.91489361702128
vit_small_patch16_224.augreg_in21k_ft_in1k,81.386,64.42307692307693,85.3239656518345,65.95744680851064,86.17021276595744
vit_base_patch16_224.augreg_in21k_ft_in1k,84.532,72.03742203742203,88.75878220140515,78.72340425531915,82.97872340425532
vit_large_patch16_224.augreg_in21k_ft_in1k,85.836,70.76403326403326,89.65651834504294,74.46808510638297,84.04255319148936
beit_base_patch16_224.in22k_ft_in22k_in1k,85.212,71.51767151767152,89.38329430132708,74.46808510638297,85.1063829787234
beitv2_base_patch16_224.in1k_ft_in1k,85.594,74.68814968814968,88.60265417642466,77.6595744680851,85.1063829787234
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.474,78.61226611226611,90.28103044496487,85.1063829787234,86.17021276595744
beit_base_patch16_384.in22k_ft_in22k_in1k,86.8,78.37837837837837,88.2903981264637,84.04255319148936,81.91489361702128
beit_large_patch16_224.in22k_ft_in22k_in1k,87.478,82.17255717255718,89.7736143637783,89.36170212765957,85.1063829787234
beit_large_patch16_384.in22k_ft_in22k_in1k,88.402,83.18607068607069,89.22716627634661,86.17021276595744,85.1063829787234
beit_large_patch16_512.in22k_ft_in22k_in1k,88.596,83.9137214137214,91.84231069476971,86.17021276595744,89.36170212765957
beitv2_large_patch16_224.in1k_ft_in1k,87.412,83.26403326403326,90.04683840749415,84.04255319148936,82.97872340425532
beitv2_large_patch16_224.in1k_ft_in22k_in1k,88.394,83.57588357588358,90.7103825136612,85.1063829787234,87.2340425531915
caformer_m36.sail_in1k,85.232,61.90228690228691,89.11007025761124,64.8936170212766,82.97872340425532
caformer_m36.sail_in22k_ft_in1k,86.594,82.84823284823285,90.82747853239657,87.2340425531915,86.17021276595744
caformer_s18.sail_in1k,83.654,56.600831600831604,88.36846213895394,60.63829787234043,82.97872340425532
caformer_s18.sail_in22k_ft_in1k,84.074,79.8076923076923,89.81264637002342,87.2340425531915,85.1063829787234
caformer_s36.sail_in1k,84.506,63.56548856548857,87.743950039032,62.76595744680851,81.91489361702128
caformer_s36.sail_in22k_ft_in1k,85.79,71.8035343035343,86.92427790788446,78.72340425531915,79.7872340425532
cait_s24_224.fb_dist_in1k,83.442,66.42411642411642,87.04137392661983,75.53191489361703,79.7872340425532
cait_xxs24_224.fb_dist_in1k,78.384,62.78586278586279,86.0655737704918,62.76595744680851,84.04255319148936
cait_xxs36_224.fb_dist_in1k,79.746,65.0987525987526,87.86104605776737,71.27659574468085,75.53191489361703
coat_lite_medium.in1k,83.6,65.48856548856548,88.01717408274786,73.40425531914893,84.04255319148936
coat_lite_mini.in1k,79.102,59.06964656964657,85.98750975800155,53.191489361702125,79.7872340425532
coat_lite_small.in1k,82.312,60.88877338877339,87.08040593286495,58.51063829787234,80.85106382978722
coat_lite_tiny.in1k,77.52,57.84823284823285,86.455893832943,53.191489361702125,80.85106382978722
coat_mini.in1k,81.27,61.79833679833679,88.17330210772833,65.95744680851064,81.91489361702128
coat_small.in1k,82.362,61.694386694386694,88.79781420765028,61.702127659574465,84.04255319148936
coat_tiny.in1k,78.426,57.770270270270274,86.0655737704918,56.38297872340425,80.85106382978722
coatnet_0_rw_224.sw_in1k,82.39,60.31704781704782,87.5487900078064,73.40425531914893,86.17021276595744
coatnet_1_rw_224.sw_in1k,83.596,68.71101871101871,89.9687743950039,70.2127659574468,86.17021276595744
coatnet_bn_0_rw_224.sw_in1k,82.4,66.65800415800416,87.82201405152225,73.40425531914893,88.29787234042553
coatnet_nano_rw_224.sw_in1k,81.696,62.73388773388774,87.97814207650273,72.3404255319149,88.29787234042553
coatnet_rmlp_1_rw_224.sw_in1k,83.362,68.06133056133056,89.11007025761124,73.40425531914893,88.29787234042553
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,84.91,82.17255717255718,89.34426229508196,86.17021276595744,82.97872340425532
coatnet_rmlp_2_rw_224.sw_in1k,84.608,64.70893970893971,89.26619828259173,69.14893617021278,84.04255319148936
coatnet_rmlp_nano_rw_224.sw_in1k,82.05,58.23804573804574,87.43169398907104,68.08510638297872,82.97872340425532
convit_base.fb_in1k,82.29,65.77442827442827,89.38329430132708,67.02127659574468,85.1063829787234
convit_small.fb_in1k,81.42,65.59251559251558,87.11943793911007,67.02127659574468,82.97872340425532
convit_tiny.fb_in1k,73.112,62.11018711018711,85.55815768930522,60.63829787234043,85.1063829787234
convmixer_1024_20_ks9_p14.in1k,76.936,53.92411642411642,80.95238095238095,53.191489361702125,71.27659574468085
convmixer_1536_20.in1k,81.362,58.549896049896056,82.78688524590164,62.76595744680851,73.40425531914893
convmixer_768_32.in1k,80.168,55.353430353430355,81.26463700234193,64.8936170212766,72.3404255319149
davit_base.msft_in1k,84.642,61.356548856548855,88.87587822014052,63.829787234042556,82.97872340425532
davit_small.msft_in1k,84.252,62.44802494802495,87.08040593286495,63.829787234042556,81.91489361702128
davit_tiny.msft_in1k,82.696,58.52390852390852,87.11943793911007,61.702127659574465,80.85106382978722
deit_base_distilled_patch16_224.fb_in1k,83.39,63.643451143451145,86.96330991412958,68.08510638297872,78.72340425531915
deit_base_patch16_224.fb_in1k,81.992,66.52806652806653,87.86104605776737,68.08510638297872,85.1063829787234
deit_small_distilled_patch16_224.fb_in1k,81.216,60.680873180873185,86.37782982045277,63.829787234042556,78.72340425531915
deit_small_patch16_224.fb_in1k,79.848,58.80977130977131,86.33879781420765,60.63829787234043,82.97872340425532
deit_tiny_distilled_patch16_224.fb_in1k,74.504,59.58939708939709,84.23106947697111,57.446808510638306,81.91489361702128
deit_tiny_patch16_224.fb_in1k,72.17,59.58939708939709,84.30913348946136,59.57446808510638,87.2340425531915
deit3_base_patch16_224.fb_in1k,83.786,65.33264033264034,87.39266198282591,70.2127659574468,81.91489361702128
deit3_base_patch16_224.fb_in22k_ft_in1k,85.7,64.21517671517671,89.07103825136612,62.76595744680851,82.97872340425532
deit3_medium_patch16_224.fb_in1k,83.086,67.12577962577963,87.78298204527712,65.95744680851064,81.91489361702128
deit3_medium_patch16_224.fb_in22k_ft_in1k,84.55,61.356548856548855,88.05620608899297,68.08510638297872,88.29787234042553
deit3_small_patch16_224.fb_in1k,81.37,59.40748440748441,88.32943013270882,58.51063829787234,82.97872340425532
deit3_small_patch16_224.fb_in22k_ft_in1k,83.076,62.16216216216216,88.2903981264637,62.76595744680851,91.48936170212765
densenet121.tv_in1k,74.764,63.01975051975052,86.22170179547228,62.76595744680851,80.85106382978722
densenet161.tv_in1k,77.358,66.96985446985447,85.94847775175644,67.02127659574468,75.53191489361703
densenet169.tv_in1k,75.9,63.591476091476096,87.23653395784542,61.702127659574465,84.04255319148936
densenet201.tv_in1k,77.286,64.1891891891892,85.67525370804059,62.76595744680851,78.72340425531915
dla102.in1k,78.024,64.68295218295218,86.29976580796253,65.95744680851064,77.6595744680851
dla169.in1k,78.708,63.435550935550935,85.75331772053083,65.95744680851064,79.7872340425532
dla34.in1k,74.64,61.512474012474016,81.57689305230289,57.446808510638306,78.72340425531915
dla46_c.in1k,64.872,50.70166320166321,79.50819672131148,50.0,74.46808510638297
dla60.in1k,77.046,60.109147609147605,84.62138953942232,62.76595744680851,79.7872340425532
dpn107.mx_in1k,80.17,73.36278586278586,86.57298985167837,73.40425531914893,76.59574468085107
dpn131.mx_in1k,79.814,72.24532224532224,86.37782982045277,77.6595744680851,82.97872340425532
dpn68.mx_in1k,76.346,62.62993762993763,86.22170179547228,68.08510638297872,79.7872340425532
dpn68b.mx_in1k,77.518,67.07380457380458,85.90944574551132,68.08510638297872,74.46808510638297
dpn92.mx_in1k,80.038,70.08835758835758,87.08040593286495,76.59574468085107,79.7872340425532
dpn98.mx_in1k,79.67,71.88149688149689,87.743950039032,72.3404255319149,81.91489361702128
efficientformer_l1.snap_dist_in1k,80.498,56.65280665280665,85.40202966432474,59.57446808510638,79.7872340425532
efficientformer_l3.snap_dist_in1k,82.548,58.70582120582121,86.26073380171741,53.191489361702125,78.72340425531915
efficientformer_l7.snap_dist_in1k,83.382,58.679833679833685,86.0655737704918,59.57446808510638,76.59574468085107
efficientformerv2_l.snap_dist_in1k,83.632,58.445945945945944,83.87978142076503,60.63829787234043,73.40425531914893
efficientformerv2_s0.snap_dist_in1k,76.114,53.222453222453225,82.35753317720531,56.38297872340425,77.6595744680851
efficientformerv2_s1.snap_dist_in1k,79.692,56.44490644490644,84.58235753317722,59.57446808510638,73.40425531914893
efficientformerv2_s2.snap_dist_in1k,82.166,58.80977130977131,82.04527712724435,63.829787234042556,71.27659574468085
efficientnet_b0.ra_in1k,77.694,57.32848232848233,82.08430913348947,56.38297872340425,78.72340425531915
efficientnet_es_pruned.in1k,75.006,61.2006237006237,83.09914129586261,63.829787234042556,77.6595744680851
efficientnet_es.ra_in1k,78.058,57.06860706860707,83.13817330210773,62.76595744680851,74.46808510638297
efficientnet_lite0.ra_in1k,75.482,53.09251559251559,75.68306010928961,60.63829787234043,73.40425531914893
focalnet_base_srf.ms_in1k,83.82,66.45010395010395,89.53942232630757,61.702127659574465,87.2340425531915
focalnet_small_srf.ms_in1k,83.416,74.06444906444906,88.79781420765028,77.6595744680851,85.1063829787234
focalnet_tiny_srf.ms_in1k,82.138,76.58523908523908,85.94847775175644,80.85106382978722,81.91489361702128
focalnet_base_lrf.ms_in1k,83.838,69.82848232848234,89.61748633879782,73.40425531914893,85.1063829787234
focalnet_small_lrf.ms_in1k,83.494,69.02286902286903,88.60265417642466,69.14893617021278,87.2340425531915
focalnet_tiny_lrf.ms_in1k,82.154,75.49376299376299,87.47072599531616,78.72340425531915,82.97872340425532
hrnet_w18_small_v2.ms_in1k,75.11,61.928274428274435,84.66042154566745,57.446808510638306,77.6595744680851
hrnet_w18_small.ms_in1k,72.336,60.109147609147605,83.2552693208431,60.63829787234043,74.46808510638297
hrnet_w18.ms_in1k,76.752,67.38565488565489,83.41139734582357,68.08510638297872,79.7872340425532
hrnet_w30.ms_in1k,78.196,69.46465696465697,86.33879781420765,72.3404255319149,78.72340425531915
hrnet_w32.ms_in1k,78.442,67.33367983367984,86.18266978922716,70.2127659574468,79.7872340425532
hrnet_w40.ms_in1k,78.932,68.5031185031185,86.88524590163934,65.95744680851064,81.91489361702128
hrnet_w44.ms_in1k,78.894,70.97193347193347,85.28493364558938,75.53191489361703,81.91489361702128
hrnet_w48.ms_in1k,79.306,70.6081081081081,85.20686963309913,74.46808510638297,77.6595744680851
