model_name,imagenet_accuracy,view_accuracy
resnet18.a3_in1k,68.252,47.0
resnet152.a3_in1k,80.546,53.0
resnet101.a3_in1k,79.814,49.0
resnet50.a3_in1k,78.048,45.0
resnet34.a3_in1k,72.97,50.0
resnet18.a3_in1k,68.252,47.0
vit_tiny_patch16_224.augreg_in21k_ft_in1k,75.462,53.0
vit_small_patch16_224.augreg_in1k,78.848,48.0
vit_small_patch16_224.augreg_in21k_ft_in1k,81.386,51.0
vit_base_patch16_224.augreg_in21k_ft_in1k,84.532,56.00000000000001
vit_large_patch16_224.augreg_in21k_ft_in1k,85.836,53.0
beit_base_patch16_224.in22k_ft_in22k_in1k,85.212,53.0
beitv2_base_patch16_224.in1k_ft_in1k,85.594,50.0
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.474,52.0
beit_base_patch16_384.in22k_ft_in22k_in1k,86.8,44.0
beit_large_patch16_224.in22k_ft_in22k_in1k,87.478,50.0
beit_large_patch16_384.in22k_ft_in22k_in1k,88.402,56.00000000000001
beit_large_patch16_512.in22k_ft_in22k_in1k,88.596,59.0
beitv2_large_patch16_224.in1k_ft_in1k,87.412,51.0
beitv2_large_patch16_224.in1k_ft_in22k_in1k,88.394,50.0
caformer_m36.sail_in1k,85.232,49.0
caformer_m36.sail_in22k_ft_in1k,86.594,52.0
caformer_s18.sail_in1k,83.654,52.0
caformer_s18.sail_in22k_ft_in1k,84.074,52.0
caformer_s36.sail_in1k,84.506,53.0
caformer_s36.sail_in22k_ft_in1k,85.79,50.0
cait_s24_224.fb_dist_in1k,83.442,49.0
cait_xxs24_224.fb_dist_in1k,78.384,50.0
cait_xxs36_224.fb_dist_in1k,79.746,51.0
coat_lite_medium.in1k,83.6,53.0
coat_lite_mini.in1k,79.102,50.0
coat_lite_small.in1k,82.312,52.0
coat_lite_tiny.in1k,77.52,45.0
coat_mini.in1k,81.27,51.0
coat_small.in1k,82.362,54.0
coat_tiny.in1k,78.426,52.0
coatnet_0_rw_224.sw_in1k,82.39,56.99999999999999
coatnet_1_rw_224.sw_in1k,83.596,46.0
coatnet_bn_0_rw_224.sw_in1k,82.4,53.0
coatnet_nano_rw_224.sw_in1k,81.696,46.0
coatnet_rmlp_1_rw_224.sw_in1k,83.362,52.0
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,84.91,54.0
coatnet_rmlp_2_rw_224.sw_in1k,84.608,52.0
coatnet_rmlp_nano_rw_224.sw_in1k,82.05,52.0
convit_base.fb_in1k,82.29,48.0
convit_small.fb_in1k,81.42,54.0
convit_tiny.fb_in1k,73.112,48.0
convmixer_1024_20_ks9_p14.in1k,76.936,49.0
convmixer_1536_20.in1k,81.362,49.0
convmixer_768_32.in1k,80.168,50.0
davit_base.msft_in1k,84.642,49.0
davit_small.msft_in1k,84.252,49.0
davit_tiny.msft_in1k,82.696,56.99999999999999
deit_base_distilled_patch16_224.fb_in1k,83.39,53.0
deit_base_patch16_224.fb_in1k,81.992,46.0
deit_small_distilled_patch16_224.fb_in1k,81.216,51.0
deit_small_patch16_224.fb_in1k,79.848,51.0
deit_tiny_distilled_patch16_224.fb_in1k,74.504,49.0
deit_tiny_patch16_224.fb_in1k,72.17,48.0
deit3_base_patch16_224.fb_in1k,83.786,49.0
deit3_base_patch16_224.fb_in22k_ft_in1k,85.7,45.0
deit3_medium_patch16_224.fb_in1k,83.086,50.0
deit3_medium_patch16_224.fb_in22k_ft_in1k,84.55,53.0
deit3_small_patch16_224.fb_in1k,81.37,50.0
deit3_small_patch16_224.fb_in22k_ft_in1k,83.076,50.0
densenet121.tv_in1k,74.764,50.0
densenet161.tv_in1k,77.358,49.0
densenet169.tv_in1k,75.9,50.0
densenet201.tv_in1k,77.286,49.0
dla102.in1k,78.024,55.00000000000001
dla169.in1k,78.708,51.0
dla34.in1k,74.64,52.0
dla46_c.in1k,64.872,47.0
dla60.in1k,77.046,56.00000000000001
dpn107.mx_in1k,80.17,44.0
dpn131.mx_in1k,79.814,48.0
dpn68.mx_in1k,76.346,46.0
dpn68b.mx_in1k,77.518,52.0
dpn92.mx_in1k,80.038,49.0
dpn98.mx_in1k,79.67,51.0
efficientformer_l1.snap_dist_in1k,80.498,54.0
efficientformer_l3.snap_dist_in1k,82.548,50.0
efficientformer_l7.snap_dist_in1k,83.382,51.0
efficientformerv2_l.snap_dist_in1k,83.632,54.0
efficientformerv2_s0.snap_dist_in1k,76.114,46.0
efficientformerv2_s1.snap_dist_in1k,79.692,48.0
efficientformerv2_s2.snap_dist_in1k,82.166,48.0
efficientnet_b0.ra_in1k,77.694,53.0
efficientnet_es_pruned.in1k,75.006,48.0
efficientnet_es.ra_in1k,78.058,50.0
efficientnet_lite0.ra_in1k,75.482,52.0
focalnet_base_srf.ms_in1k,83.82,54.0
focalnet_small_srf.ms_in1k,83.416,50.0
focalnet_tiny_srf.ms_in1k,82.138,43.0
focalnet_base_lrf.ms_in1k,83.838,52.0
focalnet_small_lrf.ms_in1k,83.494,52.0
focalnet_tiny_lrf.ms_in1k,82.154,52.0
hrnet_w18_small_v2.ms_in1k,75.11,49.0
hrnet_w18_small.ms_in1k,72.336,50.0
hrnet_w18.ms_in1k,76.752,44.0
hrnet_w30.ms_in1k,78.196,47.0
hrnet_w32.ms_in1k,78.442,44.0
hrnet_w40.ms_in1k,78.932,52.0
hrnet_w44.ms_in1k,78.894,51.0
hrnet_w48.ms_in1k,79.306,51.0
